Binomial.1.2,order,family,genus,iucn_status,common_name,guild_with_omnivore,guild_only_herbivory,fermentation_simple,trophic_level_herbivore,source_herbi,herbivore_fg_own,herbi_body_mass_bins,mass_kg,mass_kg_carni,maximum_prey_size,largest_accessible_prey_size,prey_range_bins,group_hunting,hunting_style,carnivore_fg_own,source_carni,trophic_level_carni,trophic_level,species,browser,grazer,mixed_feeder,omnivore,feeding_type,fermentation_type,mr_mass_kg,hempson_herbivore_group,trophic_level_hempson
Lontra_felina,Carnivora,Mustelidae,Lontra,EN,,,,,small herbivore,Phylacine,not_complete,4,30.6,,,,,,,,,,small herbivore,Lontra felina,,,,,Predator,Shortgut,22.95,,
Loxodonta_africana,Proboscidea,Elephantidae,Loxodonta,VU,African Elephant,Mixed Feeder,Mixed Feeder,Hindgut,megaherbivore,HerbiTRAITS,s4Mixed FeederHindgut,10,4400,,,,,,,,,,megaherbivore,Loxodonta africana,0,0,1,0,Mixed Feeder,Hindgut,3300,Nonruminants,Nonruminants
Lycaon_pictus,Carnivora,Canidae,Lycaon,EN,,,,,small herbivore,Phylacine,not_complete,3,22.0501,22.0501,410.2343281,353.859483320996,2,cooperative hunter,Pursuit,large prey predatorcooperative hunterPursuit,CarniTRAITS,large prey predator,large prey predator,Lycaon pictus,,,,,Predator,Shortgut,16.537575,,large prey predator
Lynx_lynx,Carnivora,Felidae,Lynx,LC,,,,,small herbivore,Phylacine,not_complete,3,17.95,17.95,290.882234611933,20.80775,1,solitary,Ambush,small prey predatorsolitaryAmbush,CarniTRAITS,small prey predator,small prey predator,Lynx lynx,,,,,Predator,Shortgut,13.4625,,small prey predator
Macaca_assamensis,Primates,Cercopithecidae,Macaca,NT,Assam Macaque,Omnivore,Browser,Hindgut,small herbivore,HerbiTRAITS,s1OmnivoreHindgut,1,12,,,,,,,,,,small herbivore,Macaca assamensis,1,0,0,1,Omnivore,Hindgut,9,,
Macaca_fuscata,Primates,Cercopithecidae,Macaca,LC,Japanese Macaque,Omnivore,Browser,Hindgut,small herbivore,HerbiTRAITS,s1OmnivoreHindgut,1,10.4,,,,,,,,,,small herbivore,Macaca fuscata,1,0,0,1,Omnivore,Hindgut,7.8,,
Macaca_munzala,Primates,Cercopithecidae,Macaca,EN,Arunachal Macaque,Omnivore,Browser,Hindgut,small herbivore,HerbiTRAITS,s1OmnivoreHindgut,2,15,,,,,,,,,,small herbivore,Macaca munzala,1,0,0,1,Omnivore,Hindgut,11.25,,
Macaca_sylvanus,Primates,Cercopithecidae,Macaca,EN,Barbary Macaque,Omnivore,Browser,Hindgut,small herbivore,HerbiTRAITS,s1OmnivoreHindgut,1,12.2,,,,,,,,,,small herbivore,Macaca sylvanus,1,0,0,1,Omnivore,Hindgut,9.15,,
Macaca_thibetana,Primates,Cercopithecidae,Macaca,NT,Tibetan Macaque,Omnivore,Browser,Hindgut,small herbivore,HerbiTRAITS,s1OmnivoreHindgut,1,12,,,,,,,,,,small herbivore,Macaca thibetana,1,0,0,1,Omnivore,Hindgut,9,,
Macropus_agilis,Diprotodontia,Macropodidae,Macropus,LC,Agile Wallaby,Mixed Feeder,Mixed Feeder,Foregut,small herbivore,HerbiTRAITS,s1Mixed FeederForegut,2,15,,,,,,,,,,small herbivore,Macropus agilis,0,0,1,0,Mixed Feeder,Foregut,11.25,,
Macropus_antilopinus,Diprotodontia,Macropodidae,Macropus,LC,Antilopine Wallaroo,Grazer,Grazer,Foregut,small herbivore,HerbiTRAITS,s1GrazerForegut,4,27.25,,,,,,,,,,small herbivore,Macropus antilopinus,0,1,0,0,Grazer,Foregut,20.4375,,
Macropus_bernardus,Diprotodontia,Macropodidae,Macropus,NT,Black Wallaroo,Mixed Feeder,Mixed Feeder,Foregut,small herbivore,HerbiTRAITS,s1Mixed FeederForegut,2,17,,,,,,,,,,small herbivore,Macropus bernardus,0,0,1,0,Mixed Feeder,Foregut,12.75,,
Macropus_dorsalis,Diprotodontia,Macropodidae,Macropus,LC,Black-striped Wallaby,Grazer,Grazer,Foregut,small herbivore,HerbiTRAITS,s1GrazerForegut,1,11.25,,,,,,,,,,small herbivore,Macropus dorsalis,0,1,0,0,Grazer,Foregut,8.4375,,
Macropus_fuliginosus,Diprotodontia,Macropodidae,Macropus,LC,Western Gray Kangaroo,Grazer,Grazer,Foregut,small herbivore,HerbiTRAITS,s1GrazerForegut,3,22,,,,,,,,,,small herbivore,Macropus fuliginosus,0,1,0,0,Grazer,Foregut,16.5,,
Macropus_giganteus,Diprotodontia,Macropodidae,Macropus,LC,Eastern Grey Kangaroo,Mixed Feeder,Mixed Feeder,Foregut,small herbivore,HerbiTRAITS,s1Mixed FeederForegut,4,25.875,,,,,,,,,,small herbivore,Macropus giganteus,0,0,1,0,Mixed Feeder,Foregut,19.40625,,
Macropus_parryi,Diprotodontia,Macropodidae,Macropus,LC,Whiptail Wallaby,Grazer,Grazer,Foregut,small herbivore,HerbiTRAITS,s1GrazerForegut,2,13.5,,,,,,,,,,small herbivore,Macropus parryi,0,1,0,0,Grazer,Foregut,10.125,,
Macropus_robustus,Diprotodontia,Macropodidae,Macropus,LC,Common Wallaroo,Mixed Feeder,Mixed Feeder,Foregut,small herbivore,HerbiTRAITS,s1Mixed FeederForegut,3,21.2625,,,,,,,,,,small herbivore,Macropus robustus,0,0,1,0,Mixed Feeder,Foregut,15.946875,,
Macropus_rufogriseus,Diprotodontia,Macropodidae,Macropus,LC,Red-necked Wallaby,Mixed Feeder,Mixed Feeder,Foregut,small herbivore,HerbiTRAITS,s1Mixed FeederForegut,2,16.85,,,,,,,,,,small herbivore,Macropus rufogriseus,0,0,1,0,Mixed Feeder,Foregut,12.6375,,
Macropus_rufus,Diprotodontia,Macropodidae,Macropus,LC,Red Kangaroo,Mixed Feeder,Mixed Feeder,Foregut,medium herbivore,HerbiTRAITS,s2Mixed FeederForegut,5,46.25,,,,,,,,,,medium herbivore,Macropus rufus,0,0,1,0,Mixed Feeder,Foregut,34.6875,,
Mandrillus_leucophaeus,Primates,Cercopithecidae,Mandrillus,EN,Drill,Omnivore,Browser,Hindgut,small herbivore,HerbiTRAITS,s1OmnivoreHindgut,2,15,,,,,,,,,,small herbivore,Mandrillus leucophaeus,1,0,0,1,Omnivore,Hindgut,11.25,,
Mandrillus_sphinx,Primates,Cercopithecidae,Mandrillus,VU,Mandrill,Omnivore,Browser,Hindgut,small herbivore,HerbiTRAITS,s1OmnivoreHindgut,3,18.2499,,,,,,,,,,small herbivore,Mandrillus sphinx,1,0,0,1,Omnivore,Hindgut,13.687425,,
Mazama_americana,Cetartiodactyla,Cervidae,Mazama,DD,Red Brocket,Browser,Browser,Foregut,small herbivore,HerbiTRAITS,s1BrowserForegut,3,22.7997,,,,,,,,,,small herbivore,Mazama americana,1,0,0,0,Browser,Foregut,17.099775,,
Mazama_bororo,Cetartiodactyla,Cervidae,Mazama,VU,Small Red Brocket,Browser,Browser,Foregut,small herbivore,HerbiTRAITS,s1BrowserForegut,4,25,,,,,,,,,,small herbivore,Mazama bororo,1,0,0,0,Browser,Foregut,18.75,,
Mazama_bricenii,Cetartiodactyla,Cervidae,Mazama,VU,Merida Brocket,Browser,Browser,Foregut,small herbivore,HerbiTRAITS,s1BrowserForegut,2,16.4999,,,,,,,,,,small herbivore,Mazama bricenii,1,0,0,0,Browser,Foregut,12.374925,,
Mazama_chunyi,Cetartiodactyla,Cervidae,Mazama,VU,Peruvian Dwarf Brocket; Common Dwarf Brocket,Browser,Browser,Foregut,small herbivore,HerbiTRAITS,s1BrowserForegut,2,16.4999,,,,,,,,,,small herbivore,Mazama chunyi,1,0,0,0,Browser,Foregut,12.374925,,
Mazama_gouazoubira,Cetartiodactyla,Cervidae,Mazama,LC,Gray Brocket,Browser,Browser,Foregut,small herbivore,HerbiTRAITS,s1BrowserForegut,2,16.3001,,,,,,,,,,small herbivore,Mazama gouazoubira,1,0,0,0,Browser,Foregut,12.225075,,
Mazama_nana,Cetartiodactyla,Cervidae,Mazama,VU,Brazilian Dwarf Brocket,Browser,Browser,Foregut,small herbivore,HerbiTRAITS,s1BrowserForegut,2,16.4999,,,,,,,,,,small herbivore,Mazama nana,1,0,0,0,Browser,Foregut,12.374925,,
Mazama_nemorivaga,Cetartiodactyla,Cervidae,Mazama,LC,Amazonian Brown Brocket,Browser,Browser,Foregut,small herbivore,HerbiTRAITS,s1BrowserForegut,2,15,,,,,,,,,,small herbivore,Mazama nemorivaga,1,0,0,0,Browser,Foregut,11.25,,
