SiteID,max_species_body_mass,mean_species_body_mass,median_species_body_mass,CW_max_species_body_mass,CW_mean_species_body_mass,CW_median_species_body_mass,herbivore_fg_own,carnivore_fg_own,hempson_fg,trophic_groups,trophic_groups_hempson,carnivore_fg_own_simple,herbivore_fg_own_simple,total_biomass_ha,total_m_biomass_ha,m_herbi_biomass_ha,n_species_reserve,n_herbi_sp_reserve,elephant_biomass_ha,white_rhino_biomass_ha,white_rhino_yn,browser_biomass_ha,grazer_biomass_ha,mixed_feeder_biomass_ha,grazer_browser_ratio,grazer_mixed_ratio,browser_mixed_ratio,herbi_biomass_ha,prop_biomass_w_occasional_predator,prop_biomass_w_regular_predator,prop_species_w_occasional_predator,prop_species_w_regular_predator,herbi_fun_red,herbi_fun_div_distq1,herbi_fun_ent,predator_biomass_ha,farm_size_ha,reserve_name,year_to_wildlife
LIM93,899.9948,177.749672727273,60,343.943639046171,37.7930913180164,0.802798052529292,7,1,3,4,4,1,3,168.762576251277,262.504012705437,262.401248215685,11,10,0,,,7.81970904562297,0.213865748375618,160.591982137609,0.0273495787538704,0.00133173366147482,0.0486930227869182,168.625556931608,1,0.97291459491947,1,0.9,0.175,1.27160341213295,8,0.137019319669786,1379.36533662177,Marone Barone,
LIM94,899.9948,300.636025,196.75,227.564213260076,60.8858960689186,11.3388020555982,5,0,4,2,4,0,2,63.290161640482,47.4676212303615,47.4676212303615,8,8,0,,,17.0876105484288,12.8214494489508,33.3811016431024,0.750336005880571,0.38409305918159,0.511894746048913,63.290161640482,,,0,0,0.107142857142857,2.47984509547189,7,,393.675030276163,Matamba Bush Campsite,2014
LIM95,1417.49,315.288893333333,175,230.740533159749,26.4346165736205,9.25515827536243,8,0,5,4,5,0,4,55.7889816912881,41.8417362684661,41.8417362684661,15,15,0,,,21.6283214738722,16.1321744811002,18.0284857363157,0.745881944680193,0.894815832957301,1.19967488064209,55.7889816912881,,,0,0,0.15,3.44489456830005,12,,1887.68240981257,Ditholo Wildlife Estate,
LIM96?,2949.9863,349.517336842105,171.0015,-Inf,,,9,0,5,4,5,0,4,0,0,0,19,19,0,0,yes,0,0,0,,,,0,,,0,0,0.242914979757085,4.59489636719358,13,,,Zwartkloof Housing Development Game Reserve,
LIM97,4400,353.753596,161.4991,542.798483267507,39.0298025039279,1.82240021601288,12,2,5,5,6,1,4,55.8439526443328,41.8829644832496,41.5972692692566,25,22,6.84210141437047,,,25.0988807738375,4.61880094371936,25.7453439747853,0.184024179617359,0.179403349523819,0.974890092687014,55.4630256923422,0.876636708348294,0.733648264639497,0.954545454545455,0.909090909090909,0.18716577540107,3.42865813058733,17,0.380926951990665,19292.3185445279,Greater Kuduland Safari,1971
LIM98,1417.49,234.69157,129.49955,162.210274713192,24.9692516091476,2.43920503124165,11,1,5,5,6,1,4,55.8621088381456,41.8965816286092,41.1894189956549,20,18,0,,,14.8268453045125,23.2339085061728,16.8584715168546,1.56701631594561,1.37817408197084,0.879489299471133,54.9192253275399,1,0.76517507807201,1,0.888888888888889,0.144444444444444,3.38181643156263,15,0.942883510605646,2364.01694899537,Jembisa Lodge CC,
LIM99,227.4993,108.705655555556,86.6004,111.74919570418,21.8767374896142,7.49956474636293,7,1,4,4,5,1,3,92.878189347245,69.6586420104338,69.1880707905881,9,8,0,,,16.067978083777,54.028493794769,22.1542891755714,3.36249486482178,2.43873740956419,0.725276173676313,92.2507610541174,1,1,1,1,0,2.35046026856598,8,0.627428293127589,200.81944244484,Zandfontein,2013
LN2,569.9936,118.69238,84.5502,131.080164405636,12.3285173980538,2.29650885263819,10,0,5,3,5,0,3,29.6683289987568,22.2512467490676,22.2512467490676,20,20,0,,,7.44181135106774,8.55776146272345,13.6687561849656,1.14995678592358,0.626081945344538,0.544439541562169,29.6683289987568,,,0,0,0.183333333333333,3.36555346925833,15,,2506.28900950626,Collieskraal,1995
LN3,569.9936,167.477928571429,86.6004,99.2705286028137,23.6286489466392,8.16639359454787,5,0,5,3,5,0,3,57.1102519197213,42.832688939791,42.832688939791,7,7,0,,,30.2233779097337,1.63242747387772,25.2544465361099,0.0540120789526965,0.0646392100315326,1.19675471274015,57.1102519197213,,,0,0,0,2.65801002366597,7,,321.606937154089,Jabula Farm,2003
LN4,400,119.980869230769,82.5,134.748170640372,15.5489231123407,2.25474421650713,9,0,5,3,5,0,3,35.1960763546868,37.5125421937798,37.5125421937798,13,13,0,,,2.18206053048318,5.44999248714675,27.5640233370569,2.49763579470454,0.197721225980092,0.0791633537601033,35.1960763546868,,,0,0,0.125874125874126,2.46759918494096,11,,2192.88678437369,Mount Melsetter,1986
