NAME,WDPA_PID,DESIG_ENG,GIS_AREA,MAP,MAT,fire_events_since_2001,n_deposition,prop_burned_area,woody_trend_venter2019,spatial_predictor1,spatial_predictor2,spatial_predictor3,spatial_predictor4,spatial_predictor5
Analabe-Betanatanana,555697890,National Park,3.58453693955481,1849.64,18.27,3.14285714285714,259.867919921875,0.933333333333333,-1.37791015317183,0.00136790704564754,0.000456272654980376,-0.00095632485152189,0.00199332151897875,-0.00494773754003079
Analavelona,555697891,National Park,44.1988819402406,850.181132075472,19.0028301886793,1.53333333333333,221.59162902832,0.077720207253886,-0.339616167841135,0.00308461719169515,0.0020627049193069,0.000968325032367622,-0.000302397689877606,-0.00577770512805002
Makirovana Tsihomanaomby,555697893,National Park,33.8676861076558,1915.4175,22.075,1.20454545454545,171.240715026855,0.309859154929577,-2.41357507221091,0.000823846395188997,6.9095194427762e-05,-0.0011039672494832,0.00219359325434118,-0.00416220095702831
Ampasindava,555697894,National Park,916.195109570253,2130.39032549729,25.1400542495478,1.11526479750779,200.160251617432,0.0847636651703195,-1.76248626154418,0.001206160103833,0.000333496118504282,-0.000908464904279042,0.00204897541317137,-0.00447652536690898
Galoko Kalobinono,555697895,National Park,750.772831419372,2501.75027563396,24.2167034178611,1.44157814871017,249.163101196289,0.212101705825555,-1.1384858796488,0.00100007088048699,0.000241188612792989,-0.00100242478399248,0.00205673152869875,-0.00430337149300843
Oronjia,555697896,National Park,16.6083758928433,986.542105263158,25.2868421052632,0,189.46630859375,0,-0.333546322236515,0.000888766950793761,6.04726779719934e-05,-0.000941167710649455,0.00204438817936789,-0.00398089743202391
Massif d'Ibity,555697897,National Park,61.40843666606,1339.38974358974,15.2307692307693,4.056,272.071243286133,0.954198473282443,0.0762736579661128,0.00200677311035186,0.000926724247703396,-0.000350232593939582,0.00127605027161511,-0.00529613685079917
Réserve spéciale Pointe à Larrée,555697898,National Park,7.7011738909258,3978.57777777778,23.9722222222223,0,170.224609375,0,-1.2096979267869,0.00114498582897971,0.000137621254442004,-0.00115259891918938,0.00216656791692142,-0.00470027681611668
Vohidava Betsimalao,555697899,National Park,181.114464885356,1084.88986784141,23.3592511013216,1.5,103.508773803711,0.0199252801992528,0.354256111210922,0.00222332586705855,0.0013597311271127,0.000449134944966874,0.000199567694570243,-0.00506549809754174
Ankarabolava,555697900,National Park,7.72423194920985,3108.52857142857,22.6214285714286,0,161.512222290039,0,-1.01729785718258,0.00191615441751566,0.00103538346526314,-4.15911144518296e-05,0.000903019729173558,-0.00484195431285966
Agnakatrika,555697901,National Park,7.88710486492854,3143.06363636364,22.759090909091,1,161.512222290039,0.0285714285714286,-1.8869307008876,0.00192793769284229,0.0010530785022574,-1.07768258843147e-05,0.000873104365478308,-0.00484113355948568
COMATSA Sud,555697904,National Park,802.427770583956,2140.25977249224,15.8656153050672,1.078125,187.968658447266,0.134171907756813,-1.07964026096959,0.000967846213225591,0.000159905911502082,-0.0011702874526857,0.00221309898073781,-0.00436609318028631
Mahimborondro,555697905,National Park,752.235818906139,2238.89021978022,16.8908791208791,1.42161016949153,173.228958129883,0.151233578981096,-0.889815748695215,0.00104932871613342,0.00023145380413422,-0.00105505160085233,0.00215051998787603,-0.00442649068106159
Bemanevika,555697906,National Park,356.37312771192,3007.9212962963,17.2333333333334,2.61658841940532,173.228958129883,0.433514246947083,-1.22012487641842,0.00111030097152483,0.000270230941681545,-0.00106506978177917,0.00212180735114657,-0.00445980712785232
COMATSA Nord,555697907,National Park,2380.18216336104,1989.15761589404,16.8503834088533,1.29378531073446,190.326787312826,0.286668691163073,-1.19193011758132,0.000928150521477592,0.000161570432515751,-0.00102151946547188,0.00213373362822073,-0.00427831570025726
Loky Manambato,555697908,National Park,2485.45536093886,1181.51182795699,24.6876344086023,2.26658053402239,199.624526977539,0.226271681933346,-0.936193632880737,0.000813724522529099,5.5569396384058e-05,-0.000966143843668946,0.00224314402886901,-0.00410512005151806
Allées des Baobabs,555697909,National Park,3.20644538878836,839.133333333333,25.85,1.27272727272727,258.233856201172,0.785714285714286,-0.69751452007623,0.00295030047014847,0.00193603040127665,0.000541268745522581,0.00025602388834931,-0.00592127614388072
Andrafiamena Andavakoera,555697910,National Park,733.767399139398,1372.18215909091,24.6669318181818,2.11039484286865,199.624526977539,0.410247933884298,-0.700010608588755,0.000879329505468734,0.000110776378206338,-0.000948072858620806,0.0021873940121141,-0.00417336603526967
